map,scen,agents,seed,variant,solved,soc,makespan,lb,time_ms,forward_calls,rebuilds
random32-20,random-32-32-20-random-4,150,1,tb_step_wall,True,4239,54,3273,1593.8,8100,54
random32-20,random-32-32-20-random-4,200,0,tb_start_w10,True,9607,193,4353,538.7,200,1
random32-20,random-32-32-20-random-4,200,1,vanilla,True,7617,98,4353,246.5,0,0
random32-20,random-32-32-20-random-4,150,0,vanilla,True,4757,75,3273,3475.8,0,0
random32-20,random-32-32-20-random-4,200,0,tb_step_wall,True,6858,93,4353,1492.8,18800,94
random32-20,random-32-32-20-random-4,200,1,tb_start_w10,True,12915,276,4353,972.3,200,1
random32-20,random-32-32-20-random-4,200,0,tb_agent_w10,True,6586,92,4353,2884.9,39451,95
random32-20,random-32-32-20-random-4,200,1,tb_step_wall,True,6518,60,4353,1382.8,12000,60
random32-20,random-32-32-20-random-4,200,2,vanilla,True,6935,71,4353,189.1,0,0
random32-20,random-32-32-20-random-4,200,1,tb_agent_w10,True,6666,91,4353,2968.7,39667,95
random32-20,random-32-32-20-random-4,200,2,tb_step_w10,True,6514,85,4353,1006.6,17400,87
random32-20,random-32-32-20-random-4,150,2,tb_step_wall,True,4340,67,3273,6018.0,251400,1676
random32-20,random-32-32-20-random-4,200,1,tb_step_w10,True,6521,93,4353,5450.7,438800,2194
random32-20,random-32-32-20-random-4,200,2,tb_agent_w10,True,6521,76,4353,2813.4,31040,77
random32-20,random-32-32-20-random-5,50,0,vanilla,True,1387,48,1216,46.3,0,0
random32-20,random-32-32-20-random-5,50,0,tb_step_w10,True,1382,65,1216,238.2,3300,66
random32-20,random-32-32-20-random-5,50,0,tb_start_w10,True,1466,59,1216,73.3,50,1
random32-20,random-32-32-20-random-4,200,2,tb_step_wall,True,6869,90,4353,2164.6,18200,91
random32-20,random-32-32-20-random-5,50,0,tb_step_wall,True,1319,48,1216,335.9,2400,48
